id,+/-,politics,check
1,+,成立青年事務專責機構,"2018 年 12 月台南人口 1883831 ， 45 歲以下人口 1053015 ，佔比 56% ； 2022 年 7 月台南人口 1850735 ， 45 歲以下人口 982451 ，佔比 53% 。 45 歲以下人口減少逾 7 萬人，比例下降 3% 。

台南市青年事務委員會在 2019 年 12 月成立，迄今產生 2 屆委員，每屆委員會開 3 次會議；參考會議記錄會發現機關代表經常跟青年委員間存在溝通落差，一個政策從提案到執行需要許多溝通工作，短暫的會議時間很難讓政策有明確的進展。

台南人口老化問題嚴重，也許該參考新北、桃園與高雄的作法，進一步將青年事務工作提升為一級機關，讓市府施政能夠更深入年輕人需要，進一步吸引更多青年人在台南落地生根。

台南青年事務入口
https://rdec.tainan.gov.tw/cp.aspx?n=27830
"
2,+,廣設社區關懷據點 提供長輩共餐服務,"目前台南有 377 個社區照顧關懷據點， 37 個行政區都有，永康區 26 個最多、左鎮區 3 個最少，安南區平均每 17973 人共用一個關懷據點最為缺乏、龍崎區則是每 905 個人擁有一個。其中有 207 個據點提到了共餐服務。

社區關懷據點除了量能不足外，能夠提供的服務也沒有厚實的基礎，畢竟每年只有 12 萬元補助，這些據點營運經費如果沒有足夠的自籌能力，服務品質就不容易維持。
"
3,+,公共托育家園 托育資源中心,"目前台南設有 11 處社區公共托育家園，公開資訊並未提及每個據點的收托情況，部份據點依據新聞稿得知是由 4 名托育人員照顧 12 名 2 足月至未滿 2 歲之嬰幼兒，以此類推整個台南能夠提供約 132 名嬰幼兒托育，目前符合資格有 20044 人。托育資源中心或稱親子悠遊館，目前台南也有 11 座，主要提供未滿 4 歲兒童免費活動空間，目前符合資格有 32287 人。

4 年來未滿 4 歲兒童人數從 41516 減少到 32287 ，即使減少逾 9 千個孩子，台南公共托育資源還是明顯供不應求。

公設民營托嬰中心及社區公共托育家園一覽表
https://sab.tainan.gov.tw/News.aspx?n=32774&sms=24218

臺南市親子悠遊館
https://sab.tainan.gov.tw/News.aspx?n=21447&sms=19553
"
4,+,重視新住民文化 共創海洋國家開闊視野,"台南的新住民人口自 2018 的 34014 人成長到 2021 的 35413 人，每半年公佈一次新住民照顧服務措施辦理情形彙整表，只是內容缺乏系統化安排，不易追蹤特定指標變化。
"
5,-,爭取大台南城市音樂廳 讓優美的音樂成為城市的主旋律,"原本計畫興建小巨蛋的東區南臺南站副都心 15 公頃的文教用地，被國立科學未來館取代，城市音樂廳部份目前看不到任何新的規劃。
"
6,-,建立農漁冷鏈物流雙核心,"原本規劃在將軍漁港設置水產冷鏈物流運籌中心，後來改名為「將軍智慧水產加工及物流運籌中心」，水產的規劃自此不再有冷鏈；農產品的部份，玉井農產加工及冷鏈物流中心今年(111)2月順利爭取 5 億元經費，最快在 113 年第一季營運，不過預計 6 月完成的細部設計尚未看到具體進展。
"
7,+,打通南科地區路網 連結四大工業區,"四大工業區分別為樹谷、永康科、柳科、新吉，「臺南都會區北外環道快速道路第三期工程」正在進行驗收，希望 8 月可以順利完工通車；「臺南都會區北外環銜接樹谷園區聯絡道工程」在 111 年 5 月 7 日正式開工，預計 114 年完工通車；「國道8號臺南系統交流道改善及跨南133線路口立體化工程」目前交通部高速公路局進行綜合規劃中；「永康創意設計園區北側聯外道路工程」則是從 2021 招標至今都無法順利決標。
"
8,-,捷運藍綠紅三線齊發 台南軌道建設啟航,"2018 #黃偉哲 接受媒體專訪表示，當選市長後力拼首任任期開始動工；但是在 2022 再次接受媒體專訪時卻提到不急著在任內談動工，首任動工的規劃可以預期不會發生。

捷運規劃進度，目前多條路線只有藍線第一期進入到綜合規劃階段，主要運量基礎的綠線因為民眾抗爭進度延遲，目前尚未看到新的路線規劃；由於綠線是營運財務計算的運量基礎，如果沒辦法在第一時間營運，對於市府財政可能會造成不小負擔。

除了原有的藍、綠、紅三線，近期又再延伸藍色延伸線與深綠線，但財務一直存在疑慮，是否會造成民眾反彈也還未知，期待不會因為政治紛擾讓民眾期待落空。
"
9,-,因應極端氣候挑戰 持續提高易淹水地區防洪標準,"依據水利局 110 年施政目標，台南市管區域排水保護標準仍然為 10 年重現期洪水設計，防洪標準並未有明顯提昇， 24 小時累積降雨超過 250 毫米就會有淹水疑慮，在極端氣候環境下明顯不足以因應。
"
10,+,打造公共愛心倉儲 每月供給弱勢家庭愛心物資,"目前全市分為 5 大服務區提供「實物愛心銀行」服務，累積受贈愛心物資計市價4498萬858元，約 38 萬3870人次受益；「愛心惜食平台」成立 19 處，自108年至今來捐贈食材累積已達 29 公噸，逾 15 萬人次受益。

臺南市政府公益平台
https://ri.tainan.gov.tw/
"
